,X,UID,Site,Country,State,Latitude,Longitude,Lat.Long.source,C14,SD,AMS,Material,Laboratory,Reference,Context,OBS,NEW,bp
1,1,1,4-MSR,India,Rajasthan,29.201112,73.161537,Google Earth,4065,30,Yes,Seed: Hordeum,GdA-4806,Liu et al. 2017,,Direct date on barley,Yes,4548
2,2,2,Adam,India,Maharashtra,20.999473,79.449986,Google Earth,3460,90,No,Charcoal,PRL-1368,IAR92-93,"Chalcolithic culture, Trench S5, Locus Qd 1, Layer 16",Maharashtra Chalco,Yes,3722
3,3,3,Agaibir,India,Uttar Pradesh,24.6,81.85,Google Earth,2866,31,,Seed: Hordeum,D-AMS018161,Liu et al. 2017,,Direct date on barley,Yes,2987
4,4,4,Ali Kosh,Iran,Ilam,32.55,47.316667,M,8530,40,Yes,Bone (carbon),Beta-177126,M,,PP,,9512
5,5,5,Apegaon I,India,Maharashtra,19.446382,75.488245,Google Earth,3625,100,No,Charcoal,PRL-384,"PR2, IAR77-78","Chalcolithic, Savalda/Ramatirtha Ware, Trench XII-XVI, Layer 6",Maharashtra Chalco,Yes,3944
6,6,6,Balathal,India,Rajasthan,24.722644,74.00979,L,5770,100,No,Charcoal,PRL-1933,IAR95-96,"Chalcolithic, Trench OE, Layer 23, Locus SW","Chalco, but SWA pack",Yes,6569
7,7,7,Balu,India,Haryana,29.666667,76.366667,Google Earth,3990,30,Yes,Seed: Hordeum,Beta-427233,Liu et al. 2017,,Direct date on barley,Yes,4474
8,8,8,Banahalli,India,Karnataka,13.213368,77.911772,Google Earth,3780,70,null,Charcoal,PRL-1675,IAR94-95,,,,4161
9,9,9,Barudih,India,Jharkhand,22.75,85.95,AK,3010,200,null,null,TF-1100,"PR2, IAR71-72",,,,3179
10,10,10,Bharatpur,India,West Bengal,23.883285,88.083905,Google Earth,3390,135,null,Charcoal,PRL-15,"PR2, IAR74-75",,,,3644
11,11,11,Bog-i-No,Iran,Lorestan,33.466667,48.35,M,6200,140,null,Charcoal & ash,I-1492,M,,,,7081
12,12,12,Burzahom,India,Jammu and Kashmir,34.174143,74.908065,L,4330,115,null,null,TF-128,PR2,,,,4938
13,13,13,Chagylly-Depe II,Turkmenistan,Ahal,36.766667,60.55,Brunet 1998,7000,110,,,LE-592,Brunet 1998,Neolithic,,Yes,7825
14,14,14,Chahar Boneh,Iran,Qazvin,35.766952,49.98568,Pollard et al. 2012,7123,35,,Charcoal,OxA-17742,Pollard et al. 2012,,,Yes,7951
15,15,15,Chia Sabz,Iran,Ilam,33.4,46.3,RBC,9228,39,Yes,Fabaceae,Erl-14835,"AF, RBC",,,,10387
16,16,16,Chirand,India,Bihar,25.75,84.75,AK,3710,150,null,Charcoal,TF-1032,"PR2, IAR70-71",,Wheat,,4066
17,17,17,Chogha Bonut,Iran,Khuzestan,32.222222,48.221667,M,8170,60,Yes,Charred material,Beta-106164,M,,,,9122
18,18,18,Chogha Gollan,Iran,Ilam,33.380556,46.2925,ZRNC,9425,45,Yes,Hordeum,KIA-43836,"AF, RBC",,,,10653
19,19,19,Chogha Mish,Iran,Khuzestan,32.223889,48.556111,M,6610,50,Yes,Charred material,Beta-106168,M,,,,7499
20,20,20,Chopani Mando,India,Uttar Pradesh,24.916667,82.083333,C,4675,110,null,null,BS-129,PR2,,,,5393
21,21,21,Daimabad II,India,Maharashtra,19.516632,74.69999,L,3710,150,No,Charcoal,PRL-426,"PR2, IAR78-79","Chalcolithic, Post-Urban Harappan, Trench CZ61, Pit 25, Layer 14",Maharashtra Chalco,Yes,4066
22,22,22,Dalma Tepe,Iran,West Azarbaijan,37,45.483333,M,5986,87,null,Ashy soil,P-503,M,,,,6829
23,23,23,Damb Sadaat,Pakistan,Baluchistan,30.049933,66.949968,L,4509,196,null,null,P-522,S2,,,,5152
24,24,24,Damdama,India,Uttar Pradesh,25.491976,79.720164,Google Earth,3984,54,,Seed: Hordeum,DAMMESO-1,Liu et al. 2017,,Direct date on barley,Yes,4453
25,25,25,Darra-i-Kur,Afghanistan,Badakhshan,36.783333,70,M,3780,130,null,Collagen,Gx-910,M,,,,4162
26,26,26,Deh Morasi Ghundai,Afghanistan,Kandahar,31.520027,65.494363,L,5850,291,null,null,P-2292,S2,,,,6688
27,27,27,Eran,India,Madhya Pradesh,24.0878,78.1733,AK2,3455,105,null,Charcoal,TF-329,"PR2, IAR65-66",,,,3717
28,28,28,Ganj Dareh Tepe,Iran,Hamadan,34.433333,48.116667,M,8940,50,Yes,Bone (collagen),Beta-108245,M,,PP,,10054
29,29,29,Golbai Sasan,India,Orissa,20.0225,85.55,Google Earth,2710,90,null,Charcoal,PRL-1646,IAR93-94,,,,2831
30,30,30,Gufkral,India,Jammu and Kashmir,35.9,75.983333,S,3980,120,null,Wood charcoal: Juglans regia,BS-359,"PR2, IAR81-82, IAR82-83, IAR83-84",,,,4446
31,31,31,Hajji Firuz Tepe,Iran,West Azarbaijan,36.991667,45.457778,M,7926,86,null,"Charcoal, clay & ash",P-455,M,,,,8778
32,32,32,Hallur,India,Karnataka,14.333333,75.616667,AGK,3665,105,No,"Charcoal: Polyalthia sp., Anogeissus and Albizzia sp.",TF-580,"PR2, IAR65-66","Allchin Period II, Neolithic, Trench 1, Layer 14",,,4000
33,33,33,Hanumantaraopeta,India,Andhra Pradesh,15.030812,78.3803,Google Earth,3295,30,,Seed: Hordeum,BA-04394,FBK,,"HRP97.1-5, Direct date on barley",Yes,3512
34,34,34,Harappa,Pakistan,Punjab,30.628889,72.863889,Google Earth,3463,28,Yes,Seed: Hordeum,OxA-30064,Liu et al. 2017,,Direct date on barley,Yes,3738
35,35,35,Hattibelagallu,India,Andhra Pradesh,15.365428,77.224637,Google Earth,3475,40,Yes,Seed: Macrotyloma uniflorum,BA-05778,FH,,,,3750
36,36,36,Hiregguda,India,Karnataka,15.17988,76.965279,Google Earth,3382,35,,Seed: Hordeum,B-28680/17,Liu et al. 2017,,Direct date on barley,Yes,3616
37,37,37,Hormangan,Iran,Fars,30.507476,53.515374,,7420,25,,Charcoal,PLD-32545,Khanipour et al. 2021,"Trench 1, Context 1038",,Yes,8263
38,38,38,Huli Kallu,India,Andhra Pradesh,15.050817,77.206091,Google Earth,2970,150,null,Charcoal,PRL-633,IAR82-83,,,,3133
39,39,39,Inamgaon,India,Maharashtra,18.583333,74.533333,AGK2,3515,90,No,Charcoal,TF-1001,"PR2, IAR70-71","Chalcolithic, Trench D1, Layer 8",Maharashtra Chalco,Yes,3789
40,40,40,Jani,Iran,Kermanshah,33.947778,46.783333,M,8140,60,null,null,Beta-258649,M,,,,9090
41,41,41,Jebel,Turkmenistan,Balkan,39.338475,54.164972,Brunet 1998,6030,240,,Charcoal,LE-1,Brunet 1998,Neolithic,,Yes,6885
